fragment 1	score: 189.107
fragment 2	score: 58.71
fragment 4	score: 6.864
fragment 4	score: 6.864
fragment 5	score: 8.543
fragment 6	score: 21.568
fragment 7	score: 4.465
fragment 8	score: 4.136
fragment 10	score: 0.0
fragment 13	score: 4.033
fragment 13	score: 4.033
fragment 13	score: 4.033
fragment 15	score: 0.0
fragment 15	score: 0.0
fragment 16	score: 0.0
fragment 17	score: 0.0
fragment 18	score: 6.344
fragment 19	score: 0.0
fragment 21	score: 6.705
fragment 22	score: 6.201
fragment 23	score: 23.077
fragment 24	score: 3.335
fragment 25	score: 46.286
fragment 26	score: 0.0
fragment 27	score: -0.138
fragment 28	score: 2.644
fragment 29	score: 1.806
fragment 31	score: -0.035
fragment 32	score: 0.0
fragment 33	score: 0.0
fragment 34	score: 7.788
fragment 35	score: 0.0
fragment 36	score: 0.811
fragment 37	score: 2.074
fragment 38	score: -0.041
fragment 39	score: 0.0
fragment 41	score: 11.836
fragment 42	score: 11.183
fragment 43	score: 0.0
fragment 44	score: 0.0
fragment 45	score: 0.494
fragment 46	score: 0.0
fragment 47	score: 0.0
fragment 48	score: 0.549
fragment 49	score: 44.052
fragment 51	score: 0.0
fragment 52	score: 0.0
fragment 53	score: 52.799
fragment 54	score: 2.553
fragment 55	score: 7.973
fragment 56	score: 13.789
fragment 57	score: 6.578
fragment 58	score: 5.994
fragment 59	score: 15.246
fragment 61	score: 9.767
fragment 62	score: 0.0
fragment 63	score: 0.0
fragment 64	score: 7.161
fragment 66	score: 0.0
fragment 66	score: 0.0
fragment 67	score: 0.0
fragment 68	score: 3.663
fragment 69	score: 3.903
fragment 71	score: 0.0
fragment 73	score: 6.711
fragment 73	score: 6.711
fragment 74	score: 16.126
fragment 75	score: 2.636
fragment 76	score: -0.094
fragment 77	score: 0.0
fragment 78	score: 0.0
fragment 79	score: 0.0
fragment 81	score: 5.625
fragment 82	score: 0.0
fragment 83	score: 17.353
fragment 84	score: 0.0
fragment 85	score: 0.0
fragment 86	score: 0.0
fragment 87	score: 3.234
fragment 88	score: -0.385
fragment 89	score: 21.085
fragment 91	score: 0.0
fragment 92	score: 16.011
fragment 93	score: 11.687
fragment 94	score: 17.274
fragment 95	score: 10.749
fragment 96	score: 21.396
fragment 97	score: 12.272
